,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
197,197,-3.69916354898,0,,0.001,False,propose_translate,TranslateMove,,0.0889757429832,41.112326061,0.0
198,198,-3.69916354898,0,,0.001,,propose_rotate,,,0.00018547201762,41.112661251,
199,199,-3.69916354898,0,,0.001,,propose_resample,Resample,,0.211385714007,41.324112979,2.0
200,0,-3.69916365165,1,,3.0,,propose_addition,Addition,,0.476169230009,0.55448089604,5.0
201,1,-5.12155871844,0,,2.86198662798,True,propose_addition,Addition,,0.429548236018,0.984189009003,3.0
202,2,-7.53595194041,0,,2.73032248624,True,propose_addition,Addition,,0.079286016,1.06360283005,0.0
203,3,-7.67947235669,0,,2.6047154819,True,propose_addition,Addition,,0.0633895469946,1.12711001502,0.0
204,4,-7.57668445112,0,,2.48488695962,True,propose_reinit_pose,ReinitPoseMove,,0.0124522239785,1.13968027203,0.0
205,5,-7.57668445112,0,,2.37057108349,,propose_translate,TranslateMove,,0.0133476670017,1.15313760703,5.0
206,6,-7.50844796587,0,,2.26151424721,True,propose_deletion,Deletion,,0.0973895839998,1.25063288701,0.0
207,7,-7.50844796587,0,,2.1574745115,False,propose_deletion,Deletion,,0.0835729329847,1.33435210004,0.0
208,8,-7.50844796587,0,,2.05822106737,,propose_rotate,,,0.00017845898401,1.334651204,
209,9,-7.50844796587,0,,1.96353372408,False,propose_addition,Addition,,0.182440801989,1.51715845801,0.0
210,10,-7.50844796587,0,,1.87320242063,False,propose_relation_plane_change,RelationPlaneChange,,0.171879197995,1.68919062801,2.0
211,11,-8.18263806486,0,,1.78702675978,True,propose_translate,TranslateMove,,0.00658280798234,1.69590643805,0.0
212,12,-8.29425529259,0,,1.70481556344,True,propose_reinit_pose,ReinitPoseMove,,0.01095257001,1.70697655901,0.0
213,13,-8.29425529259,0,,1.62638644858,,propose_rotate,,,0.000146292033605,1.70722836803,
214,14,-8.29425529259,0,,1.55156542259,False,propose_addition,Addition,,0.161743812962,1.86903867405,0.0
215,15,-8.29425529259,0,,1.48018649729,False,propose_addition,Addition,,0.179775947006,2.04897221504,0.0
216,16,-8.29425529259,0,,1.41209132072,False,propose_addition,Addition,,0.173342426016,2.22246933804,0.0
217,17,-8.29425529259,0,,1.3471288258,,propose_rotate,,,0.000184650009032,2.222811507,
218,18,-8.29425529259,0,,1.2851548952,False,propose_reinit_pose,ReinitPoseMove,,0.0929370460217,2.315813864,0.0
219,19,-8.29425529259,0,,1.22603204165,False,propose_deletion,Deletion,,0.0916864519822,2.40763484105,0.0
220,20,-8.29425529259,0,,1.16962910289,False,propose_addition,Addition,,0.633748269,3.04151366703,3.0
221,21,-7.40286937682,0,,1.11582095072,True,propose_relation_plane_change,RelationPlaneChange,,0.0896813350264,3.13137454004,0.0
222,22,-7.40286937682,0,,1.06448821339,False,propose_addition,Addition,,0.266302203992,3.39780313405,1.0
223,23,-7.32434049305,0,,1.01551701079,True,propose_relation_plane_change,RelationPlaneChange,,0.169148089015,3.56711677701,2.0
224,24,-7.80010014845,0,,0.968798701788,True,propose_reinit_pose,ReinitPoseMove,,0.00837465398945,3.57561934,0.0
225,25,-7.80010014845,0,,0.92422964324,,propose_resample,,,0.000181455980055,3.575908884,
226,26,-7.80010014845,0,,0.881710960044,,propose_resample,,,0.000158577982802,3.57613978605,
227,27,-7.80010014845,0,,0.841148325796,False,propose_reinit_pose,ReinitPoseMove,,0.0119375959621,3.58813326701,0.0
228,28,-7.80010014845,0,,0.802451753525,False,propose_addition,Addition,,0.50275573699,4.09099576401,3.0
229,29,-7.80010014845,0,,0.765535396062,False,propose_addition,Addition,,0.279638052976,4.37077760004,1.0
230,30,-7.74286417325,0,,0.730317355591,True,propose_relation_plane_change,RelationPlaneChange,,0.0984367450001,4.469362189,0.0
231,31,-7.52155224493,0,,0.69671950196,True,propose_relation_plane_change,RelationPlaneChange,,0.00928380497498,4.47877039504,0.0
232,32,-7.52155224493,0,,0.664667299354,,propose_rotate,,,0.000164375000168,4.47905624204,
233,33,-7.86761616425,0,,0.634089640935,True,propose_relation_plane_change,RelationPlaneChange,,0.0554327860009,4.53455820901,1.0
234,34,-7.86761616425,0,,0.604918691098,False,propose_addition,Addition,,0.0715408619726,4.60620897205,0.0
235,35,-7.86761616425,0,,0.577089734979,,propose_resample,,,0.000205342948902,4.60655998904,
236,36,-8.3793716242,0,,0.550541034884,True,propose_relation_plane_change,RelationPlaneChange,,0.0114213869674,4.61805189104,0.0
237,37,-8.34176003704,0,,0.525213693331,True,propose_relation_plane_change,RelationPlaneChange,,0.01064338797,4.62880122405,0.0
238,38,-8.34176003704,0,,0.501051522381,False,propose_translate,TranslateMove,,0.0148317600251,4.64373129304,3.0
239,39,-8.34176003704,0,,0.478000918994,False,propose_deletion,Deletion,,0.0888956639683,4.73272497405,0.0
240,40,-8.34176003704,0,,0.456010746108,False,propose_reinit_pose,ReinitPoseMove,,0.0941479040193,4.82699783705,0.0
241,41,-8.45980587789,0,,0.435032219191,True,propose_reinit_pose,ReinitPoseMove,,0.00939364102669,4.83653955301,0.0
242,42,-8.0797174316,0,,0.415018798022,True,propose_addition,Addition,,0.152666348964,4.98931329505,1.0
243,43,-8.0797174316,0,,0.395926083432,False,propose_addition,Addition,,0.183769056981,5.173203171,0.0
244,44,-8.0797174316,0,,0.377711718817,False,propose_addition,Addition,,0.155692232016,5.329051423,0.0
245,45,-8.33046047569,0,,0.360335296162,True,propose_deletion,Deletion,,0.0978812049725,5.42709467403,0.0
246,46,-8.33046047569,0,,0.343758266401,False,propose_deletion,Deletion,,0.0879926469643,5.51531482901,0.0
247,47,-8.33046047569,0,,0.327943853899,False,propose_addition,Addition,,0.182306023955,5.69774765201,0.0
248,48,-8.33046047569,0,,0.312856974862,,propose_resample,,,0.000317301950417,5.69826071104,
249,49,-8.33046047569,0,,0.298464159508,False,propose_addition,Addition,,0.368346171977,6.06672860804,2.0
